_id,date,user_count
2034,2022-08-29,14093
2035,2022-08-30,13734
2036,2022-08-31,13326
2037,2022-09-01,11909
2038,2022-09-02,11371
2039,2022-09-03,12558
2040,2022-09-04,11077
2041,2022-09-05,13103
2042,2022-09-06,14516
2043,2022-09-07,13867
2044,2022-09-08,12341
2045,2022-09-09,12730
2046,2022-09-10,11908
2047,2022-09-11,12048
2048,2022-09-12,14012
2049,2022-09-13,13565
2050,2022-09-14,13319
2051,2022-09-15,12167
2052,2022-09-16,12287
2053,2022-09-17,11582
2054,2022-09-18,12009
2055,2022-09-19,14137
2056,2022-09-20,14395
2057,2022-09-21,13827
2058,2022-09-22,12058
2059,2022-09-23,10061
2060,2022-09-24,12135
2061,2022-09-25,12161
2062,2022-09-26,14510
2063,2022-09-27,13778
2064,2022-09-28,13314
2065,2022-09-29,12093
2066,2022-09-30,12319
2067,2022-10-01,11805
2068,2022-10-02,12003
2069,2022-10-03,14204
2070,2022-10-04,12936
2071,2022-10-05,13991
2072,2022-10-06,12236
2073,2022-10-07,11278
2074,2022-10-08,12641
2075,2022-10-09,11057
2076,2022-10-10,11903
2077,2022-10-11,13627
2078,2022-10-12,12938
2079,2022-10-13,12338
2080,2022-10-14,12450
2081,2022-10-15,11500
2082,2022-10-16,11878
2083,2022-10-17,13382
2084,2022-10-18,14085
2085,2022-10-19,13674
2086,2022-10-20,11954
2087,2022-10-21,12323
2088,2022-10-22,11053
2089,2022-10-23,12138
2090,2022-10-24,14170
2091,2022-10-25,13754
2092,2022-10-26,13482
2093,2022-10-27,12040
2094,2022-10-28,11242
2095,2022-10-29,11856
2096,2022-10-30,11416
2097,2022-10-31,12813
2098,2022-11-01,13427
2099,2022-11-02,13411
2100,2022-11-03,11686
2101,2022-11-04,12535
2102,2022-11-05,12007
2103,2022-11-06,12490
2104,2022-11-07,15331
2105,2022-11-08,12881
2106,2022-11-09,13801
2107,2022-11-10,12259
2108,2022-11-11,10767
2109,2022-11-12,12231
2110,2022-11-13,12345
2111,2022-11-14,14221
2112,2022-11-15,13420
2113,2022-11-16,13229
2114,2022-11-17,12088
2115,2022-11-18,12108
2116,2022-11-19,11802
2117,2022-11-20,11966
2118,2022-11-21,12699
2119,2022-11-22,14363
2120,2022-11-23,11978
2121,2022-11-24,7338
2122,2022-11-25,16102
2123,2022-11-26,12183
2124,2022-11-27,12792
2125,2022-11-28,14645
2126,2022-11-29,13133
2127,2022-11-30,14151
2128,2022-12-01,12340
2129,2022-12-02,13113
2130,2022-12-03,11560
2131,2022-12-04,12155
2132,2022-12-05,13976
2133,2022-12-06,13553
2134,2022-12-07,13117
2135,2022-12-08,11755
2136,2022-12-09,12295
2137,2022-12-10,11568
2138,2022-12-11,11994
2139,2022-12-12,12733
2140,2022-12-13,13362
2141,2022-12-14,12475
2142,2022-12-15,11691
2143,2022-12-16,12237
2144,2022-12-17,11731
2145,2022-12-18,11616
2146,2022-12-19,13817
2147,2022-12-20,12946
2148,2022-12-21,13133
2149,2022-12-22,11457
2150,2022-12-23,10748
2151,2022-12-24,10820
2152,2022-12-25,9232
2153,2022-12-26,12295
2154,2022-12-27,14292
2155,2022-12-28,13746
2156,2022-12-29,12852
2157,2022-12-30,12584
2158,2022-12-31,13207
2159,2023-01-01,13447
2160,2023-01-02,13515
2161,2023-01-03,15535
2162,2023-01-04,15251
2163,2023-01-05,14293
2164,2023-01-06,14610
2165,2023-01-07,14043
2166,2023-01-08,14324
2167,2023-01-09,15834
2168,2023-01-10,15816
2169,2023-01-12,13895
2170,2023-01-13,13576
2171,2023-01-14,14244
2172,2023-01-15,13537
2173,2023-01-16,13773
2174,2023-01-17,16061
2175,2023-01-18,15354
2176,2023-01-19,13972
2177,2023-01-20,13234
2178,2023-01-21,14268
2179,2023-01-22,13881
2180,2023-01-23,14760
2181,2023-01-24,14907
2182,2023-01-25,15050
2183,2023-01-26,13794
2184,2023-01-27,14358
2185,2023-01-28,14278
2186,2023-01-29,14140
2187,2023-01-30,15597
2188,2023-01-31,15567
2189,2023-02-01,14973
2190,2023-02-02,14049
2191,2023-02-03,12585
2192,2023-02-04,13271
2193,2023-02-05,13324
2194,2023-02-06,16094
2195,2023-02-07,15212
2196,2023-02-08,14874
2197,2023-02-09,13188
2198,2023-02-10,13357
2199,2023-02-11,13584
2200,2023-02-12,12882
2201,2023-02-13,15397
2202,2023-02-14,14066
2203,2023-02-15,15205
2204,2023-02-16,13686
2205,2023-02-17,15235
2206,2023-02-18,13805
2207,2023-02-19,13780
2208,2023-02-20,13283
2209,2023-02-21,15149
2210,2023-02-22,14748
2211,2023-02-23,13067
2212,2023-02-24,13730
2213,2023-02-25,13818
2214,2023-02-26,14629
2215,2023-02-27,16194
2216,2023-02-28,15414
2217,2023-03-01,15458
2218,2023-03-02,14158
2219,2023-03-03,14348
2220,2023-03-04,13690
2221,2023-03-05,13667
2222,2023-03-06,16051
2223,2023-03-07,15158
2224,2023-03-08,15255
2225,2023-03-09,13442
2226,2023-03-10,14239
2227,2023-03-11,14057
2228,2023-03-12,13298
2229,2023-03-13,15039
2230,2023-03-14,14826
2231,2023-03-15,15018
2232,2023-03-16,13763
2233,2023-03-17,14310
2234,2023-03-18,12939
2235,2023-03-19,13887
2236,2023-03-20,15717
2237,2023-03-21,15809
2238,2023-03-22,14836
2239,2023-03-23,13896
2240,2023-03-24,14532
2241,2023-03-25,13631
2242,2023-03-26,13973
2243,2023-03-27,15770
2244,2023-03-28,15007
2245,2023-03-29,15089
2246,2023-03-30,13554
2247,2023-03-31,14038
2248,2023-04-01,11595
2249,2023-04-02,14065
2250,2023-04-03,15596
2251,2023-04-04,14924
2252,2023-04-05,14664
2253,2023-04-06,13602
2254,2023-04-07,13654
2255,2023-04-08,12840
2256,2023-04-09,11905
2257,2023-04-10,15532
2258,2023-04-11,15146
2259,2023-04-12,14700
2260,2023-04-13,12608
2261,2023-04-14,12143
2262,2023-04-16,10510
2263,2023-04-17,12835
2264,2023-04-18,15190
2265,2023-04-19,14394
2266,2023-04-20,12598
2267,2023-04-21,13581
2268,2023-04-22,12898
2269,2023-04-23,13957
2270,2023-04-24,15633
2271,2023-04-25,15499
2272,2023-04-26,14661
2273,2023-04-27,13083
2274,2023-04-28,14067
2275,2023-04-29,13324
2276,2023-04-30,13835
2277,2023-05-01,15337
2278,2023-05-02,15423
2279,2023-05-03,14517
2280,2023-05-04,12929
2281,2023-05-05,12180
2282,2023-05-06,12315
2283,2023-05-07,12418
2284,2023-05-08,15245
2285,2023-05-09,14687
2286,2023-05-10,13870
2287,2023-05-11,12434
2288,2023-05-12,13849
2289,2023-05-13,12296
2290,2023-05-14,12276
2291,2023-05-15,15084
2292,2023-05-16,14677
2293,2023-05-17,14532
2294,2023-05-18,12846
2295,2023-05-19,13435
2296,2023-05-20,12544
2297,2023-05-21,12282
2298,2023-05-22,15286
2299,2023-05-23,14890
2300,2023-05-24,18227
2301,2023-05-25,13089
2302,2023-05-26,12377
2303,2023-05-27,13038
2304,2023-05-28,11191
2305,2023-05-29,13098
2306,2023-05-30,15777
2307,2023-05-31,14839
2308,2023-06-01,13892
2309,2023-06-02,13971
2310,2023-06-03,13523
2311,2023-06-04,13837
2312,2023-06-05,15480
2313,2023-06-06,15223
2314,2023-06-07,14736
2315,2023-06-08,14348
2316,2023-06-09,14006
2317,2023-06-10,12872
2318,2023-06-11,13366
2319,2023-06-12,15646
2320,2023-06-13,15514
2321,2023-06-14,15114
2322,2023-06-15,13283
2323,2023-06-16,14585
2324,2023-06-17,14502
2325,2023-06-18,13108
2326,2023-06-19,14482
2327,2023-06-20,16010
2328,2023-06-21,15577
2329,2023-06-22,14936
2330,2023-06-23,14905
2331,2023-06-24,14135
2332,2023-06-25,13811
2333,2023-06-26,16426
2334,2023-06-27,16561
2335,2023-06-28,15661
2336,2023-06-29,14138
2337,2023-06-30,14941
2338,2023-07-01,12974
2339,2023-07-02,14744
2340,2023-07-03,15256
2341,2023-07-04,13330
2342,2023-07-05,16148
2343,2023-07-06,15078
2344,2023-07-07,14666
2345,2023-07-08,14498
2346,2023-07-09,14809
2347,2023-07-10,16761
2348,2023-07-11,16126
2349,2023-07-12,16072
2350,2023-07-13,14620
2351,2023-07-14,15258
2352,2023-07-15,14246
2353,2023-07-16,13632
2354,2023-07-17,16733
2355,2023-07-18,16016
2356,2023-07-19,16117
2357,2023-07-20,13907
2358,2023-07-21,15234
2359,2023-07-22,12969
2360,2023-07-23,14520
2361,2023-07-24,16648
2362,2023-07-25,15878
2363,2023-07-26,15892
2364,2023-07-27,14325
2365,2023-07-28,15076
2366,2023-07-29,14567
2367,2023-07-30,14206
2368,2023-07-31,16877
2369,2023-08-01,15982
2370,2023-08-02,16067
2371,2023-08-03,14904
2372,2023-08-04,15005
2373,2023-08-05,14054
2374,2023-08-06,14088
2375,2023-08-07,17074
2376,2023-08-08,16052
2377,2023-08-09,16050
2378,2023-08-10,14345
2379,2023-08-11,14749
2380,2023-08-12,13527
2381,2023-08-13,14613
2382,2023-08-14,16547
2383,2023-08-15,15779
2384,2023-08-16,15875
2385,2023-08-17,15482
2386,2023-08-18,15208
2387,2023-08-19,14549
2388,2023-08-20,14228
2389,2023-08-21,17028
2390,2023-08-22,16255
2391,2023-08-23,16094
2392,2023-08-24,14160
2393,2023-08-25,15169
2394,2023-08-26,14069
2395,2023-08-27,14141
2396,2023-08-28,16691
2397,2023-08-29,16107
2398,2023-08-30,15754
2399,2023-08-31,14637
2400,2023-09-01,14057
2401,2023-09-02,15095
2402,2023-09-03,13146
2403,2023-09-04,14504
2404,2023-09-05,16994
2405,2023-09-06,16537
2406,2023-09-07,14607
2407,2023-09-08,15355
2408,2023-09-09,14637
2409,2023-09-10,15183
2410,2023-09-11,17000
2411,2023-09-12,16613
2412,2023-09-13,16146
2413,2023-09-14,15146
2414,2023-09-15,14984
2415,2023-09-16,14668
2416,2023-09-17,14444
2417,2023-09-18,16626
2418,2023-09-19,16441
2419,2023-09-20,16014
2420,2023-09-21,14966
2421,2023-09-22,14191
2422,2023-09-23,14896
2423,2023-09-24,13657
2424,2023-09-25,16737
2425,2023-09-26,16585
2426,2023-09-27,16317
2427,2023-09-28,14640
2428,2023-09-29,15812
2429,2023-09-30,14619
2430,2023-10-01,14551
2431,2023-10-02,17270
2432,2023-10-03,16428
2433,2023-10-04,16323
2434,2023-10-05,14875
2435,2023-10-06,14032
2436,2023-10-07,15757
2437,2023-10-08,13735
2438,2023-10-09,14298
2439,2023-10-10,16606
2440,2023-10-11,16011
2441,2023-10-12,14531
2442,2023-10-13,14590
2443,2023-10-14,14343
2444,2023-10-15,14152
2445,2023-10-16,16935
